date,field,rmse,bias,mae,smape,hits
19620125-19620129,forecast,5.9002897047443374,-1.6700513913156307,2.275052767070067,52.462484378523854,43.47826086956522
19620125-19620129,analysis,0.6065992673852794,0.10860513204483917,0.4882051843448893,45.03299011736942,60.86956521739131
19680930-19681004,forecast,0.8786223916654708,0.3911377504755633,0.6945466933091535,65.60895735566379,26.08695652173913
19680930-19681004,analysis,0.7980439949118683,0.34470415425243656,0.6205948311183787,58.56484418999802,30.434782608695656
19710409-19710413,forecast,0.8646424967969893,0.15243619547924506,0.7189225397194763,60.40089733601396,34.78260869565217
19710409-19710413,analysis,0.618450853233665,0.0926087022982188,0.5044406492167023,48.59645556974629,56.52173913043478
19760229-19760304,forecast,4.513396115919421,-1.1967576667956343,1.8580651703870927,55.52881714784572,43.47826086956522
19760229-19760304,analysis,0.6240588053939004,0.1701348881649057,0.45898390403021316,47.317112175295385,47.82608695652174
19771021-19771025,forecast,0.9502356768090929,0.18662739509420617,0.7588416901353179,64.4723435745254,21.73913043478261
19771021-19771025,analysis,0.7823163190049374,0.2522918106309425,0.6030881937194884,57.5854542767133,43.47826086956522
19921030-19921103,forecast,0.8679555129182274,0.050211654690783446,0.6929259539200462,55.407563318863,47.82608695652174
19921030-19921103,analysis,0.6656304266646985,0.13207767534360518,0.5079546565735015,49.29819876522228,52.17391304347826
