latitude,longitude,thickness,comendite,trachyte,error,cluster
40.75,138.45,2.0,,,3.865229618017538,0
40.952,138.667,11.0,,,3.865229618017538,0
41.423,138.26,7.4,,,3.865229618017538,0
41.147,138.002,9.0,,,3.865229618017538,0
41.873,137.657,11.0,,,3.865229618017538,0
40.898,139.015,6.0,,,3.865229618017538,0
40.745,136.938,0.1,,,3.865229618017538,0
41.005,137.018,8.0,,,3.865229618017538,0
40.017,136.398,10.0,,,3.865229618017538,0
36.197,131.096,0.01,,,0.06363961030678929,1
35.583,135.883,0.1,0.096666667,0.003333333,0.06363961030678929,1
46.71,151.66,1.5,,,0.44999999999999996,2
42.617,141.782,1.0,,,1.4608590084444122,3
42.581,141.905,3.0,,,1.4608590084444122,3
42.555,141.939,1.0,,,1.4608590084444122,3
42.484,142.046,3.0,,,1.4608590084444122,3
42.56,141.376,1.0,,,1.4608590084444122,3
42.301,140.271,2.0,,,1.4608590084444122,3
42.386,141.076,1.0,,,1.4608590084444122,3
42.395,140.911,1.0,,,1.4608590084444122,3
42.503,140.798,2.0,,,1.4608590084444122,3
42.555,140.42,1.0,,,1.4608590084444122,3
42.537,140.399,1.0,,,1.4608590084444122,3
42.44,141.151,1.0,,,1.4608590084444122,3
42.473,142.118,2.0,,,1.4608590084444122,3
42.217,142.642,1.0,,,1.4608590084444122,3
42.309,142.432,3.0,,,1.4608590084444122,3
42.304,142.454,2.0,,,1.4608590084444122,3
42.266,142.513,2.0,,,1.4608590084444122,3
42.228,142.614,2.0,,,1.4608590084444122,3
42.484,140.353,1.0,,,1.4608590084444122,3
42.192,142.723,3.0,,,1.4608590084444122,3
42.137,142.86,4.0,,,1.4608590084444122,3
42.137,142.91,1.0,,,1.4608590084444122,3
41.99,143.245,4.0,,,1.4608590084444122,3
41.998,143.253,5.0,,,1.4608590084444122,3
43.65,142.85,1.0,0.733333333,0.266666667,1.4608590084444122,3
43.067,141.35,0.1,0.08,0.02,1.4608590084444122,3
40.783,141.317,2.0,0.769230769,1.230769231,1.4608590084444122,3
42.082,140.688,5.0,,,1.4608590084444122,3
42.448,142.196,2.0,,,1.4608590084444122,3
42.319,140.274,2.0,,,1.4608590084444122,3
41.63,140.427,3.0,,,1.4608590084444122,3
41.838,141.139,4.0,,,1.4608590084444122,3
41.998,138.668,3.0,1.74,1.26,1.4608590084444122,3
41.833,139.163,3.2,,,1.4608590084444122,3
40.895,142.278,0.2,,,1.4608590084444122,3
40.678,142.783,0.2,,,1.4608590084444122,3
42.633,141.567,2.0,,,1.4608590084444122,3
42.767,141.6,1.0,0.857142857,0.142857143,1.4608590084444122,3
42.466,140.55,1.0,,,1.4608590084444122,3
41.883,141.083,5.0,,,1.4608590084444122,3
41.516,140.0,4.0,2.84,1.16,1.4608590084444122,3
40.3,141.333,5.0,,,1.4608590084444122,3
40.483,140.483,4.0,,,1.4608590084444122,3
42.183,140.667,4.0,,,1.4608590084444122,3
41.781,141.1,4.0,,,1.4608590084444122,3
43.078,145.101,1.0,1.0,0.0,1.4608590084444122,3
39.955,139.739,0.2,0.097142857,0.102857143,1.4608590084444122,3
42.633,140.307,4.0,2.162162162,1.837837838,1.4608590084444122,3
42.283,126.6,0.00256,0.000414118,0.002145882,0.03,4
42.306,126.283,0.01,0.01,0.0,0.03,4
44.351,146.256,1.0,1.0,0.0,0.706088547421639,5
45.007,145.001,0.00144,0.000938182,0.000501818,0.706088547421639,5
40.283,132.217,5.0,,,4.969909455915671,6
40.867,132.65,4.0,,,4.969909455915671,6
40.767,133.2,9.0,,,4.969909455915671,6
41.35,134.435,16.0,10.88,5.12,4.969909455915671,6
40.53,132.2,5.0,3.3,1.7,4.969909455915671,6
43.393,132.795,2.0,,,0.8539125638299665,7
43.522,134.144,1.0,,,0.8539125638299665,7
43.504,133.382,1.5,,,0.8539125638299665,7
42.996,131.847,3.0,,,0.8539125638299665,7
41.998,128.539,72.0,45.0,27.0,44.26297675384148,8
42.011,128.423,90.0,50.0,40.0,44.26297675384148,8
42.033,128.421,50.0,10.0,40.0,44.26297675384148,8
42.05,128.242,60.0,10.0,50.0,44.26297675384148,8
42.0,130.283,9.0,,,44.26297675384148,8
42.014,128.42,100.0,,,44.26297675384148,8
42.074,128.416,50.0,0.0,50.0,44.26297675384148,8
41.333,130.417,10.0,,,44.26297675384148,8
42.02,128.069,150.0,100.0,50.0,44.26297675384148,8
42.113,128.376,20.0,0.0,20.0,44.26297675384148,8
